"Unnamed: 0","text"
"73","<s>acoustic|Boyce Avenue: Somebody That I Used to Know (2012). Loudness: -10.078. Danceability: 0.729. Energy: 0.408. Tempo: 120.02.</s>"
"18","<s>acoustic|Ron Pope: One Grain of Sand (2012). Loudness: -7.168. Danceability: 0.713. Energy: 0.824. Tempo: 120.028.</s>"
"117","<s>acoustic|Meiko: Leave the Lights On - Culture Code Remix (2012). Loudness: -9.729. Danceability: 0.577. Energy: 0.592. Tempo: 139.998.</s>"
"78","<s>acoustic|Jon Bryant: Evening Sun (2012). Loudness: -13.203. Danceability: 0.45. Energy: 0.254. Tempo: 77.396.</s>"
"76","<s>acoustic|Eric Hutchinson: Not There Yet (2012). Loudness: -4.138. Danceability: 0.72. Energy: 0.839. Tempo: 122.007.</s>"
"31","<s>acoustic|Harley Poe: Still Here (2012). Loudness: -8.403. Danceability: 0.526. Energy: 0.527. Tempo: 88.263.</s>"
"64","<s>acoustic|Harley Poe: I Am The Living Dead (2012). Loudness: -8.252. Danceability: 0.554. Energy: 0.765. Tempo: 92.43.</s>"
"140","<s>acoustic|Boyce Avenue: Only Girl (In the World) (2012). Loudness: -9.532. Danceability: 0.719. Energy: 0.56. Tempo: 118.094.</s>"
"68","<s>acoustic|Ingrid Michaelson: Ghost (2012). Loudness: -5.808. Danceability: 0.519. Energy: 0.484. Tempo: 88.03.</s>"
"82","<s>acoustic|Harley Poe: Vampire's Night Out (2012). Loudness: -7.854. Danceability: 0.365. Energy: 0.522. Tempo: 166.242.</s>"
"109","<s>acoustic|Sanders Bohlke: The Loved Ones (2012). Loudness: -12.583. Danceability: 0.36. Energy: 0.167. Tempo: 139.193.</s>"
"12","<s>acoustic|Boyce Avenue: Someone Like You (2012). Loudness: -9.573. Danceability: 0.439. Energy: 0.207. Tempo: 136.514.</s>"
"36","<s>acoustic|Boyce Avenue: Fix You (2012). Loudness: -8.012. Danceability: 0.421. Energy: 0.441. Tempo: 138.07.</s>"
"9","<s>acoustic|Boyce Avenue: Heaven (2012). Loudness: -10.238. Danceability: 0.619. Energy: 0.28. Tempo: 129.948.</s>"
"19","<s>acoustic|Sara Bareilles: Once Upon Another Time (2012). Loudness: -14.504. Danceability: 0.275. Energy: 0.216. Tempo: 95.421.</s>"
"56","<s>acoustic|Kris Allen: Better with You (2012). Loudness: -5.672. Danceability: 0.732. Energy: 0.712. Tempo: 101.005.</s>"
"136","<s>acoustic|Jason Mraz: In Your Hands (2012). Loudness: -14.562. Danceability: 0.677. Energy: 0.341. Tempo: 136.176.</s>"
"69","<s>acoustic|Jason Mraz: You Fckn' Did It - Live (2012). Loudness: -9.822. Danceability: 0.558. Energy: 0.646. Tempo: 124.911.</s>"
"55","<s>acoustic|Steve Petrunak: Walking in a Winter Wonderland (2012). Loudness: -11.957. Danceability: 0.518. Energy: 0.269. Tempo: 116.262.</s>"
"131","<s>acoustic|Mark Lanegan: Bleeding Muddy Water (2012). Loudness: -9.792. Danceability: 0.507. Energy: 0.482. Tempo: 117.894.</s>"
"29","<s>acoustic|Ross Copperman: Holding On and Letting Go (2012). Loudness: -9.466. Danceability: 0.486. Energy: 0.555. Tempo: 77.987.</s>"
"123","<s>acoustic|Boyce Avenue: With Arms Wide Open (2012). Loudness: -6.539. Danceability: 0.45. Energy: 0.369. Tempo: 141.077.</s>"
"26","<s>acoustic|Jason Mraz: Be Honest (feat. Inara George) (2012). Loudness: -13.66. Danceability: 0.757. Energy: 0.308. Tempo: 107.948.</s>"
"127","<s>acoustic|Matthew Mayfield: Take What I Can Get (2012). Loudness: -10.888. Danceability: 0.334. Energy: 0.347. Tempo: 96.9.</s>"
"128","<s>acoustic|Jenny & Tyler: See The Conqueror (2012). Loudness: -7.878. Danceability: 0.558. Energy: 0.485. Tempo: 150.111.</s>"
"144","<s>acoustic|Get Dead: This One's for Johnny (2012). Loudness: -5.128. Danceability: 0.482. Energy: 0.772. Tempo: 129.91.</s>"
"110","<s>acoustic|Kris Allen: My Weakness (2012). Loudness: -4.054. Danceability: 0.615. Energy: 0.771. Tempo: 93.88.</s>"
"101","<s>acoustic|Joshua James: Coal War - from Sons of Anarchy (2012). Loudness: -7.477. Danceability: 0.608. Energy: 0.454. Tempo: 82.004.</s>"
"45","<s>acoustic|Get Dead: Fuck You (2012). Loudness: -5.341. Danceability: 0.608. Energy: 0.917. Tempo: 117.875.</s>"
"30","<s>acoustic|Harley Poe: Everybody Knows My Name (2012). Loudness: -7.63. Danceability: 0.49. Energy: 0.662. Tempo: 124.229.</s>"
"22","<s>acoustic|Meiko: Stuck On You (2012). Loudness: -6.667. Danceability: 0.638. Energy: 0.538. Tempo: 98.591.</s>"
"15","<s>acoustic|The Civil Wars: Kingdom Come (2012). Loudness: -11.382. Danceability: 0.497. Energy: 0.277. Tempo: 81.367.</s>"
"65","<s>acoustic|The Civil Wars: I Heard The Bells On Christmas Day (2012). Loudness: -14.504. Danceability: 0.492. Energy: 0.145. Tempo: 90.078.</s>"
"11","<s>acoustic|David Gray: Money (That's What I Want) - From Jim Beam's Live Music Series (2012). Loudness: -6.217. Danceability: 0.655. Energy: 0.692. Tempo: 121.455.</s>"
"42","<s>acoustic|Boyce Avenue: What Makes You Beautiful (2012). Loudness: -8.241. Danceability: 0.458. Energy: 0.275. Tempo: 114.158.</s>"
"105","<s>acoustic|Jason Mraz: Who's Thinking About You Now? (2012). Loudness: -10.572. Danceability: 0.554. Energy: 0.5. Tempo: 144.237.</s>"
"51","<s>acoustic|Ichiko Aoba: kanashii yume o mitara (2012). Loudness: -20.324. Danceability: 0.474. Energy: 0.0374. Tempo: 135.099.</s>"
"27","<s>acoustic|Sara Bareilles: Stay (2012). Loudness: -8.496. Danceability: 0.262. Energy: 0.341. Tempo: 99.913.</s>"
"4","<s>acoustic|Andrew Belle: Sky's Still Blue (2012). Loudness: -5.419. Danceability: 0.43. Energy: 0.791. Tempo: 171.864.</s>"
"32","<s>acoustic|Johnnyswim: Annie (2012). Loudness: -9.036. Danceability: 0.594. Energy: 0.251. Tempo: 98.819.</s>"
"120","<s>acoustic|Boyce Avenue: She Will Be Loved (2012). Loudness: -5.939. Danceability: 0.421. Energy: 0.398. Tempo: 103.168.</s>"
"85","<s>acoustic|Ron Pope: In My Bones (2012). Loudness: -6.067. Danceability: 0.492. Energy: 0.639. Tempo: 151.915.</s>"
"86","<s>acoustic|Joshua Radin: Tomorrow Is Gonna Be Better (2012). Loudness: -12.042. Danceability: 0.498. Energy: 0.217. Tempo: 111.735.</s>"
"16","<s>acoustic|Gabrielle Aplin: Home (2012). Loudness: -10.72. Danceability: 0.439. Energy: 0.265. Tempo: 140.494.</s>"
"10","<s>acoustic|Tristan Prettyman: Say Anything (2012). Loudness: -10.202. Danceability: 0.657. Energy: 0.43. Tempo: 91.967.</s>"
"81","<s>acoustic|Otis Spann: Someday (Electric) (2012). Loudness: -14.209. Danceability: 0.581. Energy: 0.333. Tempo: 94.197.</s>"
"132","<s>acoustic|Harley Poe: Father McKee (2012). Loudness: -7.885. Danceability: 0.564. Energy: 0.618. Tempo: 91.257.</s>"
"142","<s>acoustic|Greg Laswell: Landline (2012). Loudness: -6.85. Danceability: 0.383. Energy: 0.464. Tempo: 169.95.</s>"
"75","<s>acoustic|Ingrid Michaelson: How We Love (2012). Loudness: -13.755. Danceability: 0.666. Energy: 0.114. Tempo: 119.791.</s>"
"108","<s>acoustic|Steve Petrunak: Joy to the World (2012). Loudness: -12.243. Danceability: 0.543. Energy: 0.301. Tempo: 124.22.</s>"
"95","<s>acoustic|Jason Mraz: I Won't Give Up - Demo (2012). Loudness: -10.538. Danceability: 0.467. Energy: 0.234. Tempo: 142.718.</s>"
"104","<s>acoustic|Josh Garrels: Run (2012). Loudness: -7.463. Danceability: 0.677. Energy: 0.885. Tempo: 115.033.</s>"
"66","<s>acoustic|Boyce Avenue: Here Without You (2012). Loudness: -6.78. Danceability: 0.665. Energy: 0.559. Tempo: 143.822.</s>"
"0","<s>acoustic|Eric Pask: You got a friend in meee (2012). Loudness: -10.058. Danceability: 0.483. Energy: 0.303. Tempo: 133.406.</s>"
"141","<s>acoustic|Ingrid Michaelson: I'm Through (2012). Loudness: -12.916. Danceability: 0.265. Energy: 0.16. Tempo: 71.912.</s>"
"67","<s>acoustic|Tristan Prettyman: I Was Gonna Marry You (2012). Loudness: -10.041. Danceability: 0.448. Energy: 0.455. Tempo: 82.726.</s>"
"28","<s>acoustic|Harley Poe: Ima Killer (2012). Loudness: -7.341. Danceability: 0.461. Energy: 0.879. Tempo: 172.178.</s>"
"40","<s>acoustic|Meiko: Leave The Lights On (2012). Loudness: -6.469. Danceability: 0.646. Energy: 0.818. Tempo: 121.931.</s>"
"44","<s>acoustic|Jason Mraz: The World as I See It (2012). Loudness: -7.011. Danceability: 0.573. Energy: 0.747. Tempo: 119.012.</s>"
"60","<s>acoustic|Eric Hutchinson: The Basement (2012). Loudness: -3.93. Danceability: 0.544. Energy: 0.921. Tempo: 165.949.</s>"
"122","<s>acoustic|Boyce Avenue: Jumper (2012). Loudness: -9.291. Danceability: 0.716. Energy: 0.446. Tempo: 90.958.</s>"
"24","<s>acoustic|Boyce Avenue: Just the Way You Are (2012). Loudness: -7.594. Danceability: 0.531. Energy: 0.296. Tempo: 106.359.</s>"
"25","<s>acoustic|Eric Hutchinson: Watching You Watch Him (2012). Loudness: -5.974. Danceability: 0.588. Energy: 0.71. Tempo: 91.036.</s>"
"23","<s>acoustic|Harley Poe: Ouija (2012). Loudness: -8.022. Danceability: 0.479. Energy: 0.519. Tempo: 146.819.</s>"
"93","<s>acoustic|Boyce Avenue: Wherever You Will Go (2012). Loudness: -7.844. Danceability: 0.669. Energy: 0.31. Tempo: 112.075.</s>"
"39","<s>acoustic|Boyce Avenue: Faithfully (2012). Loudness: -8.972. Danceability: 0.509. Energy: 0.34. Tempo: 130.257.</s>"
"94","<s>acoustic|Boyce Avenue: Payphone (2012). Loudness: -5.358. Danceability: 0.65. Energy: 0.655. Tempo: 109.931.</s>"
"138","<s>acoustic|Drew Holcomb & The Neighbors: Learning to Fly (2012). Loudness: -5.355. Danceability: 0.685. Energy: 0.737. Tempo: 115.634.</s>"
"47","<s>acoustic|Sara Bareilles: Sweet As Whole (2012). Loudness: -9.335. Danceability: 0.431. Energy: 0.352. Tempo: 94.915.</s>"
"96","<s>acoustic|Johnnyswim: Adelina (2012). Loudness: -6.884. Danceability: 0.528. Energy: 0.443. Tempo: 82.924.</s>"
"112","<s>acoustic|Boyce Avenue: Skyscraper (2012). Loudness: -9.027. Danceability: 0.453. Energy: 0.337. Tempo: 207.849.</s>"
"33","<s>acoustic|Eric Hutchinson: Breakdown More (2012). Loudness: -7.313. Danceability: 0.598. Energy: 0.703. Tempo: 77.998.</s>"
"98","<s>acoustic|Mark Lanegan: St Louis Elegy (2012). Loudness: -9.627. Danceability: 0.46. Energy: 0.405. Tempo: 155.528.</s>"
"145","<s>acoustic|Boyce Avenue: Shimmer (2012). Loudness: -7.52. Danceability: 0.625. Energy: 0.595. Tempo: 114.698.</s>"
"62","<s>acoustic|Ann Sally: Mother's Song (2012). Loudness: -14.469. Danceability: 0.27. Energy: 0.0758. Tempo: 76.388.</s>"
"84","<s>acoustic|Boyce Avenue: I Want It That Way (2012). Loudness: -9.805. Danceability: 0.361. Energy: 0.273. Tempo: 199.366.</s>"
"119","<s>acoustic|Ichiko Aoba: anata no kazari (2012). Loudness: -17.177. Danceability: 0.525. Energy: 0.0719. Tempo: 133.111.</s>"
"53","<s>acoustic|Amos Lee: Simple Things (2012). Loudness: -11.818. Danceability: 0.498. Energy: 0.17. Tempo: 131.976.</s>"
"5","<s>acoustic|Chris Smither: What They Say (2012). Loudness: -6.42. Danceability: 0.566. Energy: 0.57. Tempo: 83.403.</s>"
"147","<s>acoustic|Kaki King: Skimming the Fractured Surface to a Place of Endless Light (2012). Loudness: -17.22. Danceability: 0.641. Energy: 0.235. Tempo: 116.166.</s>"
"137","<s>acoustic|Corporate Hearts: Suck on Soil Lounge Act (2012). Loudness: -2.166. Danceability: 0.307. Energy: 0.957. Tempo: 106.178.</s>"
"49","<s>acoustic|Taj Mahal: Shady Grove (2012). Loudness: -11.719. Danceability: 0.581. Energy: 0.55. Tempo: 126.128.</s>"
"35","<s>acoustic|AJJ: Black Dog (2012). Loudness: -18.414. Danceability: 0.53. Energy: 0.249. Tempo: 87.265.</s>"
"80","<s>acoustic|Steve Petrunak: Have Yourself a Merry Little Christmas (2012). Loudness: -14.374. Danceability: 0.461. Energy: 0.135. Tempo: 137.922.</s>"
"77","<s>acoustic|Steve Petrunak: The Old Guitar (2012). Loudness: -8.939. Danceability: 0.542. Energy: 0.342. Tempo: 120.4.</s>"
"34","<s>acoustic|Boyce Avenue: Teenage Dream (2012). Loudness: -8.43. Danceability: 0.654. Energy: 0.319. Tempo: 115.578.</s>"
"113","<s>acoustic|Kaki King: Bowen Island (2012). Loudness: -14.784. Danceability: 0.525. Energy: 0.407. Tempo: 139.98.</s>"
"7","<s>acoustic|Green River Ordinance: Dancing Shoes (2012). Loudness: -7.459. Danceability: 0.586. Energy: 0.423. Tempo: 138.133.</s>"
"43","<s>acoustic|A Fine Frenzy: Now Is The Start (2012). Loudness: -6.805. Danceability: 0.559. Energy: 0.781. Tempo: 114.962.</s>"
"70","<s>acoustic|Andrew Belle: The Daylight (2012). Loudness: -5.857. Danceability: 0.721. Energy: 0.571. Tempo: 119.993.</s>"
"97","<s>acoustic|Drew Holcomb & The Neighbors: Don't Think Twice, It's Alright (2012). Loudness: -8.174. Danceability: 0.535. Energy: 0.587. Tempo: 78.162.</s>"
"83","<s>acoustic|Harley Poe: That Time Of The Month (2012). Loudness: -7.941. Danceability: 0.567. Energy: 0.609. Tempo: 92.506.</s>"
"133","<s>acoustic|NEEDTOBREATHE: Solomon's Ashes - B-Side (2012). Loudness: -3.384. Danceability: 0.386. Energy: 0.958. Tempo: 187.999.</s>"
"134","<s>acoustic|Boyce Avenue: Firework (2012). Loudness: -7.847. Danceability: 0.579. Energy: 0.483. Tempo: 116.042.</s>"
"89","<s>acoustic|Boyce Avenue: A Thousand Miles (2012). Loudness: -7.538. Danceability: 0.564. Energy: 0.731. Tempo: 95.036.</s>"
"8","<s>acoustic|Jason Mraz: Living in the Moment (2012). Loudness: -7.16. Danceability: 0.65. Energy: 0.628. Tempo: 84.141.</s>"
"13","<s>acoustic|Jason Mraz: The Woman I Love (2012). Loudness: -8.34. Danceability: 0.591. Energy: 0.647. Tempo: 79.68.</s>"
"118","<s>acoustic|Boyce Avenue: Set Fire to the Rain (2012). Loudness: -9.2. Danceability: 0.579. Energy: 0.273. Tempo: 110.047.</s>"
"126","<s>acoustic|Boyce Avenue: Back for Good (2012). Loudness: -9.271. Danceability: 0.565. Energy: 0.334. Tempo: 79.064.</s>"
"3","<s>acoustic|Boyce Avenue: Fast Car (2012). Loudness: -9.845. Danceability: 0.392. Energy: 0.251. Tempo: 204.961.</s>"
"17","<s>acoustic|Harley Poe: Transvestities Can Be Cannibals Too (2012). Loudness: -8.175. Danceability: 0.499. Energy: 0.614. Tempo: 89.038.</s>"
"38","<s>acoustic|Jason Mraz: Everything Is Sound (2012). Loudness: -8.238. Danceability: 0.508. Energy: 0.563. Tempo: 167.42.</s>"
"72","<s>acoustic|Steve Petrunak: O Come All Ye Faithful (2012). Loudness: -11.934. Danceability: 0.469. Energy: 0.241. Tempo: 111.097.</s>"
"135","<s>acoustic|David Ramirez: Stick Around (2012). Loudness: -11.623. Danceability: 0.608. Energy: 0.354. Tempo: 115.718.</s>"
"6","<s>acoustic|Matt Wertz: Walking in a Winter Wonderland (2012). Loudness: -8.197. Danceability: 0.575. Energy: 0.606. Tempo: 121.083.</s>"
"111","<s>acoustic|Jason Mraz: I'm Coming Over (2012). Loudness: -12.185. Danceability: 0.465. Energy: 0.459. Tempo: 98.163.</s>"
"100","<s>acoustic|Jason Mraz: 2023-05-06 00:00:00 (2012). Loudness: -8.272. Danceability: 0.468. Energy: 0.614. Tempo: 155.574.</s>"
"2","<s>acoustic|Joshua Hyslop: Do Not Let Me Go (2012). Loudness: -13.711. Danceability: 0.409. Energy: 0.234. Tempo: 139.832.</s>"
"63","<s>acoustic|Sara Bareilles: Beautiful Girl (2012). Loudness: -12.539. Danceability: 0.708. Energy: 0.125. Tempo: 124.948.</s>"
"54","<s>acoustic|Jason Mraz: The Freedom Song (2012). Loudness: -7.562. Danceability: 0.661. Energy: 0.693. Tempo: 94.045.</s>"
"125","<s>acoustic|Boyce Avenue: Jar of Hearts (2012). Loudness: -9.057. Danceability: 0.572. Energy: 0.252. Tempo: 75.014.</s>"
"50","<s>acoustic|David Ramirez: Find the Light (2012). Loudness: -12.775. Danceability: 0.617. Energy: 0.131. Tempo: 129.31.</s>"
"114","<s>acoustic|Boyce Avenue: It Will Rain (2012). Loudness: -9.062. Danceability: 0.433. Energy: 0.417. Tempo: 73.997.</s>"
"46","<s>acoustic|Harley Poe: Taxidermy Girl (2012). Loudness: -10.046. Danceability: 0.336. Energy: 0.362. Tempo: 175.228.</s>"
"115","<s>acoustic|Jon McLaughlin: I'll Follow You (2012). Loudness: -9.474. Danceability: 0.312. Energy: 0.33. Tempo: 89.803.</s>"
"61","<s>acoustic|Tristan Prettyman: My Oh My (2012). Loudness: -6.827. Danceability: 0.69. Energy: 0.803. Tempo: 96.042.</s>"
"146","<s>acoustic|(Person) (Noun): A Punk Song About How Law Enforcement Ruins Everything (2012). Loudness: -5.168. Danceability: 0.501. Energy: 0.574. Tempo: 81.45.</s>"
"79","<s>acoustic|Boyce Avenue: The One That Got Away (2012). Loudness: -7.962. Danceability: 0.655. Energy: 0.502. Tempo: 123.931.</s>"
"59","<s>acoustic|Boyce Avenue: Superman (2012). Loudness: -10.426. Danceability: 0.587. Energy: 0.209. Tempo: 105.669.</s>"
